"Name","Type__c","IsDeleted__c","Coverage__c","Full_Policy_Detail__c","Exclusions__c","Definition__c"
"Home Contents 10AB987654","Home","0.0","Guaranteed repairs; Up to £2m occupiers and public liability cover; New for old replacements; Cover for alternative accommodation; Cover for bicycles up to £350 per bicycle and total bicycles £1,500; Option to specify your higher risk items when at home; Cover for business equipment; Cover for garden contents including plants; Cover for digital assets","Policy Name: Home Contents 10AB987654    Definition:  This protects you against loss, damage or theft of your belongings. It’ll cover things like your sofa, TV and valuables.    Coverage: Guaranteed repairs; Up to £2m occupiers and public liability cover; New for old replacements; Cover for alternative accommodation; Cover for bicycles up to £350 per bicycle and total bicycles £1,500; Option to specify your higher risk items when at home; Cover for business equipment; Cover for garden contents including plants; Cover for digital assets    Exclusions: Pets and animals are not covered","Pets and animals are not covered","This protects you against loss, damage or theft of your belongings. It’ll cover things like your sofa, TV and valuables."
"Home Buildings PAAL-1234567","Home","0.0","Guaranteed repairs; Up to £2m property owners liability cover; Cover for major risks including flooding, fire, burst pipes; Cover for alternative accommodation; Cover for replacement keys and locks","Policy Name: Home Buildings PAAL-1234567  Definition: This protects you against damage and loss to your building (including outbuildings, exterior and interior walls, roofs and flooring, amongst other things).    Coverage: Guaranteed repairs; Up to £2m property owners liability cover; Cover for major risks including flooding, fire, burst pipes; Cover for alternative accommodation; Cover for replacement keys and locks    Exclusion: Please note this policy does not cover animals in the building","Please note this policy does not cover animals in the building","This protects you against damage and loss to your building (including outbuildings, exterior and interior walls, roofs and flooring, amongst other things)."
"Home Assistance","Add-On to Home","0.0","It covers your home against those nasty surprises that no one ever wants to deal with. Some of these issues include: boiler breakdown, blocked drains, burst pipes, drainage problems, electrical failure, roof damage.","Policy Name: HomeAssist    Definition: Home assistance cover is an add-on for your home insurance for sudden or urgent issues that affect your home. It can provide temporary repairs to stop an emergency when the worst happens.    Coverage: It covers your home against those nasty surprises that no one ever wants to deal with. Some of these issues include: boiler breakdown, blocked drains, burst pipes, drainage problems, electrical failure, roof damage.    Exclusion: Home assistance cover will cover sudden and unexpected issues which can cause damage to your home, make it unsafe or impossible to live in or could cause a risk to health and safety. You?ll be provided with a temporary repair (or if possible at the same time and cost, permanent) to stop the immediate emergency. This will make your home fit for living in again, until you arrange a permanent repair. It does not, however, cover non-emergencies, such as general maintenance, wear and tear, leaking taps, broken sockets or domestic appliances, power or other mains supply cuts doe to external factors","Home assistance cover will cover sudden and unexpected issues which can cause damage to your home, make it unsafe or impossible to live in or could cause a risk to health and safety. You’ll be provided with a temporary repair (or if possible at the same time and cost, permanent) to stop the immediate emergency. This will make your home fit for living in again, until you arrange a permanent repair. It does not, however, cover non-emergencies, such as general maintenance, wear and tear, leaking taps, broken sockets or domestic appliances, power or other mains supply cuts doe to external factors","Home assistance cover is an add-on for your home insurance for sudden or urgent issues that affect your home. It can provide temporary repairs to stop an emergency when the worst happens."
"Accidental Damage","Add-On to Home","0.0","Some examples of what accidental damage covers you for includes: Breakage of fixed glass, doors, greenhouses, or conservatories; Damage to ceramic hobs and ceramic tops of fixed cookers; Accidents involving fixed sanitary ware and bathroom fittings; Damage done to drains, pipes and cables; Breakages to your walls and ceilings","Policy Name: HomeAddOnPremier    Definition:  This covers damage caused to your home’s permanent fixtures and fittings. From a wayward football smashing through your window to a mounted TV pulling down your wall, accidental damage has you covered.  Coverage: Some examples of what accidental damage covers you for includes: Breakage of fixed glass, doors, greenhouses, or conservatories; Damage to ceramic hobs and ceramic tops of fixed cookers; Accidents involving fixed sanitary ware and bathroom fittings; Damage done to drains, pipes and cables; Breakages to your walls and ceilings  Exclusions: Even with accidental damage cover, there’s still a few things you won’t be covered for. This includes accidental damage to gates, hedges and fences or any damage caused by vermin. Similarly, you won’t be covered against wear and tear.","Even with accidental damage cover, there’s still a few things you won’t be covered for. This includes accidental damage to gates, hedges and fences or any damage caused by vermin. Similarly, you won’t be covered against wear and tear.","This covers damage caused to your home’s permanent fixtures and fittings. From a wayward football smashing through your window to a mounted TV pulling down your wall, accidental damage has you covered."
"Single Car","Car","0.0","Includes theft and fire cover, damage to other people's cars or property; injury to other people; audio and sat-navs cover and child car seats cover","Policy Name: CarShield    Definition: Covers one car registered at your address    Coverage: Includes theft and fire cover, damage to other people's cars or property; injury to other people; audio and sat-navs cover and child car seats cover    Exclusion: only covers passengers, not animals or pets","only covers passengers, not animals or pets","Covers one car registered at your address"
"Legal Expenses cover","Add-On to Car","0.0","we can help recover your excess cost and provide up to £100,000 in legal fees.","Policy Name: LegalExp     Definition: the legal cover helps with costs relating to claims    Coverage: we can help recover your excess cost and provide up to £100,000 in legal fees.    Exclusions: None","","the legal cover helps with costs relating to claims"
"Breakdown Cover AUT 012345678","Add-On to Car","0.0","Breakdown cover includes flat tyres, flat battery, mechnical or electrical breakdown, no fuel, lost or broken keys and misfuelling","Policy Name: AddOnCar AUT 012345678    Definition:  Breakdown cover provides essential roadside assistance, towing, and support for vehicle malfunctions.  Coverage: Breakdown cover includes flat tyres, flat battery, mechnical or electrical breakdown, no fuel, lost or broken keys and misfuelling  Exclusions: pets and animals are not covered; also not covered if you travel outside of the UK unless if you have policy 55 PHZ123456","pets and animals are not covered; also not covered if you travel outside of the UK unless if you have policy 55 PHZ123456","Breakdown cover provides essential roadside assistance, towing, and support for vehicle malfunctions."
"MultiCar ADC-321-987654-12","Car","0.0","Each policy will have its own renewal date and policy documents. Additional benefits of multicar policy is the inclusion of AUT 012345678","Policy Name: MultiCar ADC-321-987654-12   Definition: If we already insure a car at your home, you can get a 15% discount for other cars registered to the same address    Coverage: Each policy will have its own renewal date and policy documents. Additional benefits of multicar policy is the inclusion of AUT 012345678    Exclusion: None","","If we already insure a car at your home, you can get a 15% discount for other cars registered to the same address"
"Residential Landlord Insurance 12345 67 89U 7101 7","Landlord","0.0","The policy covers the building, with the option of insuring any contents that belong to the landlord that are inside. Landlords' insurance is often referred to as buy-to-let insurance, however buy-to-let insurance is a type of landlords' insurance.","Policy Name: LandlordPremier    Definition: Landlords' insurance is an insurance policy that covers a property owner from financial losses connected with rental properties. It?ll provide theft, fire and weather damage cover for the structure of the rental property and any contents owned by the landlord that are within.    Coverage: The policy covers the building, with the option of insuring any contents that belong to the landlord that are inside. Landlords' insurance is often referred to as buy-to-let insurance, however buy-to-let insurance is a type of landlords' insurance.    Exclusion: Claims due to poor maintenance of the property are not covered","Claims due to poor maintenance of the property are not covered","Landlords' insurance is an insurance policy that covers a property owner from financial losses connected with rental properties. It’ll provide theft, fire and weather damage cover for the structure of the rental property and any contents owned by the landlord that are within."
"Commercial Landlord Insurance","Landlord","0.0","This policy includes buildings insurance, glass replacement following breakage, replacement locks and keys following accidental loss of keys; boiler","Policy Name: LandlordBiz    Definition:  Our commercial landlord insurance is ideal for landlords who rent out properties for commercial use, or have a mixed portfolio of commercial and residential buildings    Coverage:  This policy includes buildings insurance, glass replacement following breakage, replacement locks and keys following accidental loss of keys; boiler    Exclusion:  None","","Our commercial landlord insurance is ideal for landlords who rent out properties for commercial use, or have a mixed portfolio of commercial and residential buildings"
